Invoice,Invoice Date,Customer,Contact,Product,Qty
1200,2024-02-25,wxy77365,PP11316,39,3
1201,2024-02-13,txq25582,PP11054,29,4
1202,2024-02-24,dfy29816,PP41143,41,1
1203,2024-02-14,kcb00365,PP66441,22,2
1204,2024-02-03,wxy77365,PP30764,33,1
1205,2024-02-17,bab05317,PP28176,28,4
1206,2024-02-28,tuo68781,PP57004,34,4
1207,2024-02-17,kzx45321,PP28089,37,2
1208,2024-02-17,kzx45321,PP28089,40,4
1209,2024-02-28,dfy29816,PP41143,29,1
1210,2024-02-03,lpb64797,PP49550,36,3
1211,2024-02-07,wxy77365,PP74892,25,4
1212,2024-02-25,txq25582,PP43668,26,4
1213,2024-02-12,lpb64797,PP76756,22,1
1214,2024-02-28,yyk04544,PP09552,29,2
1215,2024-02-18,lpb64797,PP49550,30,4
1216,2024-02-26,kcb00365,PP66441,31,2
1217,2024-02-22,tuo68781,PP41252,33,1
1218,2024-02-20,yyk04544,PP64089,40,1
1219,2024-02-07,kcb00365,PP03518,23,3
1220,2024-02-16,yyk04544,PP64089,32,3
1221,2024-02-08,kzx45321,PP28089,41,1
1222,2024-02-15,wxy77365,PP30764,41,3
1223,2024-02-27,wxy77365,PP30764,29,2
1224,2024-02-13,kcb00365,PP03518,41,3
1225,2024-02-21,kzx45321,PP86324,24,3
1226,2024-02-14,kzx45321,PP15665,33,2
1227,2024-02-08,wxy77365,PP11316,40,3
1228,2024-02-21,lpb64797,PP76756,30,3
1229,2024-02-15,zos34433,PP20723,30,2
1230,2024-02-23,zos34433,PP70342,23,4
1231,2024-02-18,zos34433,PP70342,25,4
1232,2024-02-13,kcb00365,PP66441,24,1
1233,2024-02-03,kzx45321,PP15665,42,2
1234,2024-02-26,bab05317,PP28176,36,2
1235,2024-02-14,txq25582,PP17465,21,3
1236,2024-02-23,kzx45321,PP86324,22,2
1237,2024-02-27,yyk04544,PP64089,39,2
1238,2024-02-23,dfy29816,PP41143,30,2
1239,2024-02-23,txq25582,PP17465,22,1
1240,2024-02-02,wxy77365,PP11316,31,1
1241,2024-02-19,kcb00365,PP66441,41,3
1242,2024-02-01,yyk04544,PP64089,32,2
1243,2024-02-02,zos34433,PP20723,32,1
1244,2024-02-08,yyk04544,PP64089,30,4
1245,2024-02-12,yyk04544,PP09552,39,1
1246,2024-02-19,wxy77365,PP11316,26,4
1247,2024-02-22,dfy29816,PP77187,31,1
1248,2024-02-14,kcb00365,PP66441,30,2
1249,2024-02-21,kzx45321,PP86324,28,4
1250,2024-02-13,wxy77365,PP11316,38,2
1251,2024-02-22,wxy77365,PP74892,21,2
1252,2024-02-15,kzx45321,PP86324,33,4
1253,2024-02-04,bab05317,PP28176,41,1
1254,2024-02-25,bab05317,PP67786,41,4
1255,2024-02-20,wxy77365,PP30764,36,4
1256,2024-02-17,zos34433,PP20723,23,4
1257,2024-02-02,tuo68781,PP57004,25,1
1258,2024-02-23,bab05317,PP67786,39,3
1259,2024-02-01,wxy77365,PP74892,27,3
1260,2024-02-27,zos34433,PP70342,35,1
1261,2024-02-23,lpb64797,PP72178,26,3
1262,2024-02-26,txq25582,PP17465,41,1
1263,2024-02-24,yyk04544,PP09552,40,2
1264,2024-02-09,kzx45321,PP86324,36,2
1265,2024-02-16,tuo68781,PP57004,40,1
1266,2024-02-03,zos34433,PP20723,27,2
1267,2024-02-05,txq25582,PP43668,29,1
1268,2024-02-08,bab05317,PP28176,24,4
1269,2024-02-10,yyk04544,PP64089,31,4
1270,2024-02-17,zos34433,PP20723,35,1
1271,2024-02-25,bab05317,PP28176,30,3
1272,2024-02-03,dfy29816,PP41143,27,3
1273,2024-02-08,lpb64797,PP49550,23,4
1274,2024-02-15,yyk04544,PP64089,32,1
1275,2024-02-16,txq25582,PP11054,31,1
1276,2024-02-18,tuo68781,PP41252,39,1
1277,2024-02-15,dfy29816,PP77187,29,2
1278,2024-02-09,zos34433,PP70342,29,2
1279,2024-02-19,wxy77365,PP30764,40,1
1280,2024-02-28,wxy77365,PP11316,35,3
1281,2024-02-01,wxy77365,PP74892,21,1
1282,2024-02-11,lpb64797,PP72178,23,2
1283,2024-02-03,wxy77365,PP11316,41,2
1284,2024-02-27,kcb00365,PP03518,23,1
1285,2024-02-04,dfy29816,PP71212,32,3
1286,2024-02-06,kzx45321,PP15665,29,3
1287,2024-02-26,kzx45321,PP28089,40,2
1288,2024-02-20,yyk04544,PP64089,41,1
1289,2024-02-09,kcb00365,PP66441,28,2
1290,2024-02-04,yyk04544,PP09552,36,3
1291,2024-02-19,kzx45321,PP15665,36,3
1292,2024-02-20,wxy77365,PP11316,39,2
1293,2024-02-11,lpb64797,PP72178,39,4
1294,2024-02-09,dfy29816,PP71212,34,3
1295,2024-02-16,zos34433,PP70342,26,3
1296,2024-02-22,kcb00365,PP03518,24,3
1297,2024-02-11,bab05317,PP28176,27,1
1298,2024-02-01,yyk04544,PP09552,40,2
1299,2024-02-14,tuo68781,PP41252,36,4
